trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
38, ουδις αλεξανδρε ουδις ουδις,0.879482002502165,105.0,10.0,500.0,500.0,0.1,0.01,5.0,0.01,100.0,,,,,,,,,,,
39, μηνι αλεξανδρε ουδις εν,0.7450813618647882,54.0,25.0,100.0,1000.0,0.1,0.1,5.0,0.001,50.0,,,,,,,,,,,
40, νου αλεξανδρε ουδις μοκιμου,0.5923003536841713,51.6,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
41, θεοφιλεστατου αλεξανδρε ουδις αθανατος,0.5861365441892157,51.4,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
42, ρωμαιων αλεξανδρε ουδις εχει,0.6133586739089276,51.8,10.0,20.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
43, του αλεξανδρε ουδις του,0.6095233601483432,53.7,10.0,20.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
44, ου αλεξανδρε ουδις ταξαν,0.5943805234501733,55.2,10.0,20.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
45, ουδις αλεξανδρε ουδις ουδις,0.7915318756103354,55.0,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
46, μηνι αλεξανδρε ουδις την,0.7306495134323516,53.8,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
47, ινδικτιωνος αλεξανδρε ουδις και,0.7900775742216404,54.0,10.0,200.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
48, ετους αλεξανδρε ουδις ημων,0.7812763568502283,53.6,10.0,200.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
49, ετων αλεξανδρε ουδις ος,0.7632285522438507,55.7,10.0,200.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
50, ετων αλεξανδρε ουδις ετους,0.7164334700101098,103.48,50.0,100.0,250.0,0.3,0.1,1.0,0.01,100.0,,,,,,,,,,,
51, και αλεξανδρε ουδις και,0.6872195513529862,101.16,100.0,50.0,1000.0,0.6,0.01,1.0,0.1,100.0,,,,,,,,,,,
52, ινδικτιωνος αλεξανδρε ουδις απο,0.7197592709056019,51.0,25.0,100.0,250.0,0.1,0.01,1.0,0.1,50.0,,,,,,,,,,,
53, και αλεξανδρε ουδις ετους,0.8847639471798882,104.3,10.0,1000.0,500.0,0.6,0.05,1.0,0.001,100.0,,,,,,,,,,,
54, δε αλεξανδρε ουδις κα,0.7201350426216047,104.3,50.0,100.0,1000.0,0.1,0.1,1.0,0.001,100.0,,,,,,,,,,,
55, μνημιον αλεξανδρε ουδις μηνος,0.779254493568896,55.6,10.0,200.0,500.0,0.1,0.01,2.0,0.01,50.0,,,,,,,,,,,
56, τω αλεξανδρε ουδις ηγουμενου,0.6467079800871635,25.1,10.0,50.0,250.0,0.1,0.05,1.0,0.001,20.0,,,,,,,,,,,
57, εις αλεξανδρε ουδις του,0.688564452015812,23.07,100.0,50.0,500.0,0.6,0.05,1.0,0.01,20.0,,,,,,,,,,,
58, του αλεξανδρε ουδις και,0.8101997144058302,104.44,25.0,250.0,500.0,0.3,0.01,1.0,0.01,100.0,,,,,,,,,,,
59, ουδις αλεξανδρε ουδις ουδις,0.8972785480170122,54.5,10.0,500.0,500.0,0.3,0.01,1.0,0.01,50.0,,,,,,,,,,,
60, τω αλεξανδρε ουδις της,0.67087927706568,51.09,100.0,50.0,1000.0,0.6,0.01,10.0,0.1,50.0,,,,,,,,,,,
61, και αλεξανδρε ουδις και,0.7198145889523743,23.96,25.0,100.0,1000.0,0.1,0.1,5.0,0.01,20.0,,,,,,,,,,,
62, ετους αλεξανδρε ουδις ος,0.8279322532172901,23.7,50.0,250.0,500.0,0.9,0.01,1.0,0.01,20.0,,,,,,,,,,,
63, ετει αλεξανδρε ουδις ιων,0.6469623943620897,22.68,25.0,20.0,250.0,0.9,0.1,1.0,0.01,20.0,,,,,,,,,,,
64, ου αλεξανδρε ουδις της,0.7202326981724932,103.57,100.0,100.0,1000.0,0.6,0.01,2.0,0.01,100.0,,,,,,,,,,,
65, ουδις αλεξανδρε ουδις ουδις,0.7938804623500277,101.14,50.0,200.0,500.0,0.3,0.01,1.0,0.1,100.0,,,,,,,,,,,
66, ετους αλεξανδρε ουδις ετους,0.6743158606833388,52.58,50.0,50.0,500.0,0.9,0.05,2.0,0.01,50.0,,,,,,,,,,,
67, ινδικτιωνος αλεξανδρε ουδις του,0.9377030994551186,104.78,100.0,1000.0,250.0,0.6,0.01,2.0,0.01,100.0,,,,,,,,,,,
68, μηνι αλεξανδρε ουδις τε,0.6916990325219912,101.26,100.0,50.0,500.0,0.9,0.01,10.0,0.1,100.0,,,,,,,,,,,
69, δια αλεξανδρε ουδις αι,0.6347386815829414,21.0,10.0,50.0,250.0,0.9,0.01,2.0,0.1,20.0,,,,,,,,,,,
70, του αλεξανδρε ουδις εν,0.8871104213823756,104.8,10.0,200.0,500.0,0.6,0.01,10.0,0.01,100.0,,,,,,,,,,,
71, ουδις αλεξανδρε ουδις ουδις,0.9121679952779834,23.84,25.0,1000.0,1000.0,0.6,0.05,10.0,0.01,20.0,,,,,,,,,,,
72, ουδις αλεξανδρε ουδις ουδις,0.8649062083562672,104.47,100.0,500.0,250.0,0.1,0.1,2.0,0.01,100.0,,,,,,,,,,,
73, ινδικτιωνος αλεξανδρε ουδις εν,0.7962809215368786,51.16,50.0,200.0,1000.0,0.9,0.01,1.0,0.1,50.0,,,,,,,,,,,
74, αυτου αλεξανδρε ουδις δια,0.7235200583296277,51.13,100.0,100.0,250.0,0.6,0.05,1.0,0.1,50.0,,,,,,,,,,,
75, γυναικος αλεξανδρε ουδις τε,0.5852852829715087,102.5,10.0,20.0,1000.0,0.3,0.01,5.0,0.001,100.0,,,,,,,,,,,
76, ετους αλεξανδρε ουδις και,0.8795513427849059,23.84,100.0,500.0,1000.0,0.6,0.1,5.0,0.01,20.0,,,,,,,,,,,
77, ουδις αλεξανδρε ουδις ουδις,0.8742656919709555,101.12,25.0,500.0,500.0,0.9,0.01,5.0,0.1,100.0,,,,,,,,,,,
78, ουδις αλεξανδρε ουδις ουδις,0.6746123873424934,53.05,100.0,50.0,500.0,0.3,0.1,5.0,0.001,50.0,,,,,,,,,,,
77,,,,,,,,,,,,μη αλεξανδρε ουδις στο,0.8742656919709555,101.12,500.0,500.0,0.9,0.01,5.0,25.0,0.1,100.0
78,,,,,,,,,,,,επταμηνου αλεξανδρε ουδις παις,0.6746123873424934,53.05,50.0,500.0,0.3,0.1,5.0,100.0,0.001,50.0
81, υτοκρατωρ αλεξανδρε ουδις των,0.6581649683155679,23.42,100.0,50.0,500.0,0.1,0.05,2.0,0.01,20.0,,,,,,,,,,,
82, υς αλεξανδρε ουδις απο,0.6097381811648523,21.3,10.0,20.0,500.0,0.1,0.01,2.0,0.01,20.0,,,,,,,,,,,
83, στεφανου αλεξανδρε ουδις ονοματος,0.6021434612395737,52.48,50.0,20.0,500.0,0.1,0.05,1.0,0.001,50.0,,,,,,,,,,,
84, τας αλεξανδρε ουδις αποθανοντος,0.6825979447303816,23.12,25.0,50.0,250.0,0.6,0.1,10.0,0.01,20.0,,,,,,,,,,,
85, δια αλεξανδρε ουδις ζαρανα,0.6140858491107581,52.38,100.0,20.0,500.0,0.1,0.1,1.0,0.001,50.0,,,,,,,,,,,
86, αυ αλεξανδρε ουδις υπ,0.5984832113297773,21.0,10.0,20.0,250.0,0.9,0.1,2.0,0.1,20.0,,,,,,,,,,,
87, επι αλεξανδρε ουδις του,0.7577190874172554,104.7,10.0,250.0,1000.0,0.1,0.01,5.0,0.001,100.0,,,,,,,,,,,
88, ετους αλεξανδρε ουδις επι,0.7380039221421145,23.08,50.0,100.0,1000.0,0.9,0.05,1.0,0.001,20.0,,,,,,,,,,,
89, ουδις αλεξανδρε ουδις ουδις,0.9251792201607236,104.3,10.0,1000.0,250.0,0.9,0.01,1.0,0.01,100.0,,,,,,,,,,,
90, ινδικτιωνος αλεξανδρε ουδις και,0.8392916409824647,54.9,10.0,500.0,500.0,0.1,0.05,1.0,0.001,50.0,,,,,,,,,,,
79,,,,,,,,,,,,οις αλεξανδρε ουδις εμμιςης,0.6581649683155679,23.42,50.0,500.0,0.1,0.05,2.0,100.0,0.01,20.0
80,,,,,,,,,,,,ηριστευκοτα αλεξανδρε ουδις πανδοκειον,0.6097381811648523,21.3,20.0,500.0,0.1,0.0,2.0,10.0,0.01,20.0
81,,,,,,,,,,,,εισην αλεξανδρε ουδις νικης,0.6021434612395737,52.48,20.0,500.0,0.1,0.05,0.0,50.0,0.001,50.0
82,,,,,,,,,,,,αυσσεβδου αλεξανδρε ουδις μαλχη,0.6825979447303816,23.12,50.0,250.0,0.6,0.1,10.0,25.0,0.01,20.0
83,,,,,,,,,,,,ευνοιας αλεξανδρε ουδις παρεσχημενον,0.6140858491107581,52.38,20.0,500.0,0.1,0.1,0.0,100.0,0.001,50.0
84,,,,,,,,,,,,μαλη αλεξανδρε ουδις προνοια,0.5984832113297773,21.0,20.0,250.0,0.9,0.1,2.0,10.0,0.1,20.0
85,,,,,,,,,,,,οεωνιον αλεξανδρε ουδις δεξιοις,0.7577190874172554,104.7,250.0,1000.0,0.1,0.0,5.0,10.0,0.001,100.0
86,,,,,,,,,,,,θελωσιν αλεξανδρε ουδις χωριω,0.7380039221421145,23.08,100.0,1000.0,0.9,0.05,1.0,50.0,0.001,20.0
87,,,,,,,,,,,,πεπαυμε αλεξανδρε ουδις παν,0.9251792201607236,104.3,1000.0,250.0,0.9,0.0,0.0,10.0,0.01,100.0
88,,,,,,,,,,,,επταμηνου αλεξανδρε ουδις αθανα,0.8392916409824647,54.9,500.0,500.0,0.1,0.05,1.0,10.0,0.001,50.0
